latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.79043,79.97856,334.54,0.39,0.36,2020-09-23,757,N20,VIIRS,n,2,298.64,2.93,D,0
17.14716,78.22318,303.3,0.4,0.37,2020-09-23,2029,N20,VIIRS,n,2,290.56,0.72,N,2
17.30385,77.43522,303.45,0.39,0.36,2020-09-23,2029,N20,VIIRS,n,2,289.24,0.46,N,0
17.95701,80.79966,305.67,0.39,0.36,2020-09-24,2009,N20,VIIRS,n,2,283.14,1.4,N,2
17.58249,80.31626,324.79,0.39,0.36,2020-09-24,2010,N20,VIIRS,n,2,291.74,2.27,N,2
