latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.50516,80.01654,331.04,0.42,0.45,2021-12-11,732,N20,VIIRS,n,2,296.34,3.78,D,0
15.86869,77.05395,338.33,0.32,0.55,2021-12-11,732,N20,VIIRS,n,2,298.43,3.29,D,0
15.95586,78.09412,333.93,0.55,0.51,2021-12-11,732,N20,VIIRS,n,2,299.21,3.22,D,0
15.97474,78.16808,335.92,0.54,0.51,2021-12-11,732,N20,VIIRS,n,2,299.62,4.76,D,0
16.15141,80.71612,332.38,0.56,0.43,2021-12-11,732,N20,VIIRS,n,2,301.55,6.28,D,0
16.25056,79.94656,341.84,0.41,0.45,2021-12-11,732,N20,VIIRS,n,2,293.9,3.09,D,0
16.35141,77.57604,334.48,0.58,0.52,2021-12-11,732,N20,VIIRS,n,2,300.09,2.95,D,0
16.38461,80.64299,331.16,0.56,0.43,2021-12-11,732,N20,VIIRS,n,2,298.79,3.56,D,0
16.38512,80.64534,330.7,0.56,0.43,2021-12-11,732,N20,VIIRS,n,2,300.27,2.18,D,0
16.46979,80.8063,345.58,0.55,0.42,2021-12-11,732,N20,VIIRS,n,2,300.13,8.01,D,0
16.5856,77.17393,334.27,0.61,0.54,2021-12-11,732,N20,VIIRS,n,2,297.69,5.01,D,0
16.97425,81.46521,332.27,0.49,0.41,2021-12-11,732,N20,VIIRS,n,2,301.56,2.64,D,0
17.08948,79.71786,333.93,0.41,0.45,2021-12-11,732,N20,VIIRS,n,2,299.11,3.37,D,0
17.35865,78.98809,330.28,0.45,0.47,2021-12-11,732,N20,VIIRS,n,2,295.38,2.58,D,0
17.63612,78.98261,345.29,0.45,0.47,2021-12-11,732,N20,VIIRS,n,2,298.91,6.83,D,0
18.03542,80.74332,334.54,0.52,0.42,2021-12-11,732,N20,VIIRS,n,2,301.09,3.75,D,0
17.70416,77.25003,333.05,0.58,0.52,2021-12-11,733,N20,VIIRS,n,2,297.29,3.98,D,0
17.70876,77.25129,330.2,0.58,0.52,2021-12-11,733,N20,VIIRS,n,2,298.26,4.03,D,0
17.73809,78.17593,334.68,0.5,0.49,2021-12-11,733,N20,VIIRS,n,2,300.51,8.08,D,0
17.73898,78.18059,340.24,0.5,0.49,2021-12-11,733,N20,VIIRS,n,2,300.94,7.49,D,0
17.91752,78.6438,340.41,0.47,0.47,2021-12-11,733,N20,VIIRS,n,2,300.08,5.06,D,0
17.98665,78.11762,336.62,0.5,0.49,2021-12-11,733,N20,VIIRS,n,2,300.5,3.58,D,0
17.98987,78.11938,337.08,0.5,0.49,2021-12-11,733,N20,VIIRS,n,2,302.8,5.69,D,0
18.03467,80.74107,332.52,0.52,0.42,2021-12-11,733,N20,VIIRS,n,2,300.37,2.79,D,0
18.04397,79.46019,341.21,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,299.57,3.9,D,0
18.16589,79.76192,346.07,0.39,0.44,2021-12-11,733,N20,VIIRS,n,2,297.69,4.41,D,0
18.16988,79.76113,343.69,0.39,0.44,2021-12-11,733,N20,VIIRS,n,2,298.1,4.78,D,0
18.21463,80.47408,332.75,0.54,0.42,2021-12-11,733,N20,VIIRS,n,2,296.98,2.5,D,0
18.24664,78.15178,331.53,0.49,0.49,2021-12-11,733,N20,VIIRS,n,2,301.0,3.47,D,0
18.24728,77.9622,340.01,0.51,0.49,2021-12-11,733,N20,VIIRS,n,2,302.08,5.0,D,0
18.30285,79.89603,331.36,0.39,0.44,2021-12-11,733,N20,VIIRS,n,2,299.25,2.11,D,0
18.31076,78.48697,340.05,0.47,0.48,2021-12-11,733,N20,VIIRS,n,2,300.91,4.63,D,0
18.31174,79.2548,336.25,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,301.31,3.88,D,0
18.31358,79.25423,332.84,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,301.44,2.51,D,0
18.35578,79.51225,338.31,0.4,0.45,2021-12-11,733,N20,VIIRS,n,2,300.48,2.53,D,0
18.36675,78.92147,340.55,0.44,0.46,2021-12-11,733,N20,VIIRS,n,2,303.42,4.27,D,0
18.36693,78.92435,335.07,0.44,0.46,2021-12-11,733,N20,VIIRS,n,2,302.11,3.22,D,0
18.38255,79.89163,337.66,0.38,0.43,2021-12-11,733,N20,VIIRS,n,2,300.64,2.22,D,0
18.42158,79.27308,333.18,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,301.51,1.74,D,0
18.42451,79.27328,333.86,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,302.75,2.26,D,0
18.44765,77.89384,339.78,0.51,0.49,2021-12-11,733,N20,VIIRS,n,2,300.93,5.13,D,0
18.45925,79.41367,333.11,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,302.68,4.14,D,0
18.46155,79.51827,341.59,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,302.63,3.81,D,0
18.46281,79.27345,330.41,0.42,0.45,2021-12-11,733,N20,VIIRS,l,2,301.82,2.19,D,0
18.47689,79.32664,341.02,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,303.17,3.77,D,0
18.48706,79.5407,338.86,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,300.34,2.79,D,0
18.49255,77.73183,338.62,0.52,0.5,2021-12-11,733,N20,VIIRS,n,2,304.17,4.73,D,0
18.50888,79.31636,330.4,0.41,0.45,2021-12-11,733,N20,VIIRS,l,2,302.26,2.93,D,0
18.50966,79.4818,331.06,0.4,0.45,2021-12-11,733,N20,VIIRS,n,2,300.78,2.11,D,0
18.5139,79.52772,338.38,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,301.93,2.93,D,0
18.54169,78.22023,331.96,0.48,0.48,2021-12-11,733,N20,VIIRS,n,2,300.31,3.36,D,0
18.5465,78.99818,335.2,0.43,0.46,2021-12-11,733,N20,VIIRS,n,2,300.95,4.15,D,0
18.54972,79.22315,340.8,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,304.27,7.08,D,0
18.55826,77.97507,331.99,0.5,0.49,2021-12-11,733,N20,VIIRS,n,2,301.04,3.62,D,0
18.56204,79.22076,339.24,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,301.22,3.56,D,0
18.56331,78.5975,331.42,0.46,0.47,2021-12-11,733,N20,VIIRS,l,2,301.69,2.63,D,0
18.57029,79.08039,342.24,0.43,0.46,2021-12-11,733,N20,VIIRS,n,2,302.06,5.73,D,0
18.58004,79.77722,346.66,0.39,0.44,2021-12-11,733,N20,VIIRS,n,2,301.81,4.39,D,0
18.58907,79.57456,330.75,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,300.7,2.87,D,0
18.58966,79.5733,335.92,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,300.27,3.07,D,0
18.59174,79.35837,331.75,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,301.09,2.09,D,0
18.62026,79.15293,336.92,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,302.38,4.31,D,0
18.62185,79.15174,341.56,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,301.99,4.09,D,0
18.62418,79.32814,331.84,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,302.36,1.93,D,0
18.62864,79.81966,335.86,0.38,0.44,2021-12-11,733,N20,VIIRS,n,2,301.29,2.77,D,0
18.63234,79.18613,340.37,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,300.71,2.95,D,0
18.6351,79.18642,332.6,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,299.48,2.07,D,0
18.65824,79.30994,339.82,0.41,0.45,2021-12-11,733,N20,VIIRS,n,2,300.88,3.01,D,0
18.68058,79.45426,347.16,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,302.43,6.23,D,0
18.68106,79.45467,341.07,0.4,0.44,2021-12-11,733,N20,VIIRS,n,2,303.07,5.16,D,0
18.705,79.10285,332.77,0.42,0.45,2021-12-11,733,N20,VIIRS,n,2,300.61,2.87,D,0
18.72578,79.53844,330.92,0.4,0.44,2021-12-11,733,N20,VIIRS,l,2,305.03,1.85,D,0
