latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
18.53541,81.27419,341.26,0.76,0.77,2024-04-24,651,N20,VIIRS,n,2,296.55,7.9,D,0
18.57498,81.00634,333.92,0.79,0.78,2024-04-24,651,N20,VIIRS,n,2,295.54,5.17,D,0
18.65852,81.18155,332.49,0.77,0.77,2024-04-24,651,N20,VIIRS,n,2,295.86,5.02,D,0
18.6639,80.93886,330.19,0.8,0.78,2024-04-24,651,N20,VIIRS,n,2,295.57,4.97,D,0
15.51475,78.01031,342.79,0.51,0.49,2024-04-24,831,N20,VIIRS,l,2,317.6,8.25,D,0
15.51517,79.07173,346.23,0.6,0.53,2024-04-24,831,N20,VIIRS,n,2,314.92,18.17,D,0
15.52204,78.59966,348.2,0.56,0.51,2024-04-24,831,N20,VIIRS,n,2,313.86,18.76,D,0
15.52336,78.59737,345.28,0.56,0.51,2024-04-24,831,N20,VIIRS,n,2,312.43,19.86,D,0
15.54579,78.42242,344.08,0.54,0.51,2024-04-24,831,N20,VIIRS,l,2,314.14,12.2,D,0
15.5464,78.42751,343.72,0.54,0.51,2024-04-24,831,N20,VIIRS,n,2,312.96,12.2,D,0
15.57057,79.93523,337.02,0.34,0.56,2024-04-24,831,N20,VIIRS,l,2,310.13,3.21,D,0
15.57188,79.93318,337.48,0.34,0.56,2024-04-24,831,N20,VIIRS,l,2,310.96,2.54,D,0
15.57198,79.34404,345.11,0.63,0.54,2024-04-24,831,N20,VIIRS,n,2,313.08,14.53,D,0
15.59094,78.5208,341.91,0.55,0.51,2024-04-24,831,N20,VIIRS,l,2,314.55,11.32,D,0
15.59157,78.52596,340.96,0.55,0.51,2024-04-24,831,N20,VIIRS,l,2,313.66,11.32,D,0
15.5969,78.53054,347.38,0.55,0.51,2024-04-24,831,N20,VIIRS,n,2,313.84,10.93,D,0
15.62476,79.70895,367.0,0.33,0.55,2024-04-24,831,N20,VIIRS,h,2,310.9,7.33,D,0
15.64115,79.7607,347.95,0.34,0.56,2024-04-24,831,N20,VIIRS,n,2,311.86,5.05,D,0
15.65477,79.71684,367.0,0.33,0.56,2024-04-24,831,N20,VIIRS,h,2,316.5,13.1,D,0
15.65649,79.71451,356.51,0.33,0.56,2024-04-24,831,N20,VIIRS,n,2,316.19,6.65,D,0
15.65685,79.71762,349.26,0.33,0.56,2024-04-24,831,N20,VIIRS,n,2,314.21,6.65,D,0
15.67945,79.99969,348.16,0.35,0.57,2024-04-24,831,N20,VIIRS,n,2,310.57,5.12,D,0
15.68047,79.99887,341.22,0.35,0.57,2024-04-24,831,N20,VIIRS,n,2,309.37,4.84,D,0
15.68082,80.00211,341.38,0.35,0.57,2024-04-24,831,N20,VIIRS,n,2,308.8,4.47,D,0
15.78115,79.80228,341.07,0.34,0.56,2024-04-24,831,N20,VIIRS,l,2,313.98,5.42,D,0
15.81629,78.69376,345.75,0.57,0.52,2024-04-24,831,N20,VIIRS,n,2,313.09,8.26,D,0
15.8203,79.19623,346.2,0.62,0.54,2024-04-24,831,N20,VIIRS,n,2,314.07,9.97,D,0
15.85068,79.90834,349.31,0.35,0.56,2024-04-24,831,N20,VIIRS,n,2,314.78,5.85,D,0
15.98778,78.91869,334.76,0.6,0.53,2024-04-24,831,N20,VIIRS,l,2,309.46,1.83,D,0
15.98945,78.92025,336.83,0.6,0.53,2024-04-24,831,N20,VIIRS,l,2,310.41,2.76,D,0
15.99799,80.03007,344.82,0.35,0.57,2024-04-24,831,N20,VIIRS,n,2,307.72,3.69,D,0
16.04219,79.04869,344.76,0.61,0.53,2024-04-24,831,N20,VIIRS,n,2,310.57,8.65,D,0
16.04647,79.04258,348.71,0.61,0.53,2024-04-24,831,N20,VIIRS,n,2,311.18,8.91,D,0
16.0803,79.4742,352.5,0.33,0.55,2024-04-24,831,N20,VIIRS,n,2,313.96,7.76,D,0
16.08066,79.47741,367.0,0.33,0.55,2024-04-24,831,N20,VIIRS,h,2,317.05,7.76,D,0
16.08534,79.47339,350.66,0.33,0.55,2024-04-24,831,N20,VIIRS,n,2,312.3,7.6,D,0
16.0857,79.47659,355.95,0.33,0.55,2024-04-24,831,N20,VIIRS,n,2,314.44,7.6,D,0
