latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.5018,78.88634,345.58,0.63,0.54,2022-02-24,726,N20,VIIRS,n,2,304.13,7.81,D,0
15.5029,78.89199,330.83,0.63,0.54,2022-02-24,726,N20,VIIRS,n,2,305.25,7.81,D,0
15.7256,79.07407,340.88,0.61,0.53,2022-02-24,726,N20,VIIRS,n,2,304.93,11.05,D,0
15.75394,77.9843,338.89,0.36,0.57,2022-02-24,726,N20,VIIRS,l,2,313.0,2.49,D,0
15.80845,79.06012,330.92,0.61,0.53,2022-02-24,726,N20,VIIRS,n,2,301.93,4.21,D,0
15.88451,79.48921,347.06,0.57,0.52,2022-02-24,726,N20,VIIRS,n,2,308.73,9.7,D,0
15.88574,79.4872,339.31,0.57,0.52,2022-02-24,726,N20,VIIRS,n,2,306.91,4.42,D,0
15.93045,78.98222,333.84,0.61,0.54,2022-02-24,726,N20,VIIRS,l,2,303.92,6.22,D,0
16.12176,77.08706,335.82,0.41,0.6,2022-02-24,726,N20,VIIRS,l,2,309.06,1.81,D,0
16.13995,78.60005,333.74,0.32,0.55,2022-02-24,726,N20,VIIRS,n,2,302.75,3.02,D,0
16.23614,77.78497,334.45,0.36,0.58,2022-02-24,726,N20,VIIRS,l,2,308.21,3.15,D,0
16.24356,78.09769,348.16,0.35,0.56,2022-02-24,726,N20,VIIRS,n,2,309.26,5.21,D,0
16.31479,77.28118,339.74,0.39,0.59,2022-02-24,726,N20,VIIRS,n,2,310.37,2.03,D,0
16.3462,77.36729,342.08,0.39,0.59,2022-02-24,726,N20,VIIRS,n,2,313.77,6.06,D,0
16.38305,77.62273,335.72,0.37,0.58,2022-02-24,726,N20,VIIRS,n,2,308.11,3.38,D,0
16.38372,77.62611,341.47,0.37,0.58,2022-02-24,726,N20,VIIRS,n,2,307.22,3.38,D,0
16.4558,77.09924,338.44,0.4,0.6,2022-02-24,726,N20,VIIRS,l,2,312.71,1.83,D,0
16.4859,77.19148,342.41,0.39,0.6,2022-02-24,726,N20,VIIRS,n,2,311.49,4.17,D,0
16.49758,77.24892,339.1,0.39,0.59,2022-02-24,726,N20,VIIRS,n,2,310.25,3.88,D,0
16.53441,77.23723,336.95,0.39,0.59,2022-02-24,726,N20,VIIRS,l,2,311.72,2.31,D,0
16.64255,77.48145,344.2,0.37,0.58,2022-02-24,726,N20,VIIRS,n,2,309.49,3.55,D,0
16.64754,77.86012,344.48,0.35,0.57,2022-02-24,726,N20,VIIRS,n,2,307.75,3.93,D,0
16.66321,79.70541,336.42,0.53,0.5,2022-02-24,726,N20,VIIRS,n,2,306.01,2.92,D,0
16.66917,77.99644,345.44,0.35,0.56,2022-02-24,726,N20,VIIRS,n,2,309.67,3.05,D,0
16.67779,79.68206,338.33,0.53,0.5,2022-02-24,726,N20,VIIRS,n,2,305.95,3.11,D,0
16.74287,80.3484,332.67,0.48,0.48,2022-02-24,726,N20,VIIRS,l,2,306.56,3.72,D,0
16.79564,77.51175,354.69,0.37,0.58,2022-02-24,726,N20,VIIRS,n,2,309.27,4.53,D,0
16.81727,80.52969,331.34,0.47,0.48,2022-02-24,726,N20,VIIRS,n,2,302.52,2.68,D,0
16.85243,78.32143,336.56,0.33,0.55,2022-02-24,726,N20,VIIRS,n,2,310.97,1.9,D,0
16.86331,78.22156,337.7,0.33,0.55,2022-02-24,726,N20,VIIRS,l,2,311.92,2.95,D,0
16.88213,78.42097,344.25,0.32,0.55,2022-02-24,726,N20,VIIRS,n,2,310.07,1.99,D,0
17.08708,80.88297,341.79,0.44,0.46,2022-02-24,726,N20,VIIRS,n,2,304.35,2.47,D,0
17.10724,78.14339,344.84,0.33,0.55,2022-02-24,726,N20,VIIRS,n,2,314.46,3.65,D,0
17.1629,81.15717,341.31,0.42,0.45,2022-02-24,726,N20,VIIRS,n,2,305.23,4.68,D,0
17.21944,80.25071,333.68,0.48,0.48,2022-02-24,726,N20,VIIRS,n,2,303.25,2.01,D,0
17.25111,78.08211,337.6,0.33,0.55,2022-02-24,726,N20,VIIRS,n,2,309.42,1.43,D,0
17.2518,78.65372,342.65,0.61,0.53,2022-02-24,726,N20,VIIRS,n,2,306.78,4.96,D,0
17.25364,78.65466,348.22,0.61,0.53,2022-02-24,726,N20,VIIRS,n,2,309.66,10.2,D,0
17.25777,78.65838,335.13,0.61,0.53,2022-02-24,726,N20,VIIRS,l,2,307.2,4.58,D,0
17.26214,78.69865,335.29,0.61,0.53,2022-02-24,726,N20,VIIRS,n,2,307.84,1.9,D,0
17.28102,79.34962,338.03,0.55,0.51,2022-02-24,726,N20,VIIRS,n,2,306.71,4.65,D,0
17.28497,79.36186,333.95,0.55,0.51,2022-02-24,726,N20,VIIRS,n,2,307.18,5.06,D,0
17.28762,79.3587,333.35,0.55,0.51,2022-02-24,726,N20,VIIRS,l,2,304.21,4.67,D,0
17.53886,80.87437,339.54,0.43,0.46,2022-02-24,726,N20,VIIRS,n,2,305.16,3.78,D,0
17.59129,80.24526,340.43,0.47,0.48,2022-02-24,726,N20,VIIRS,n,2,303.37,2.88,D,0
17.65335,80.97543,331.24,0.42,0.46,2022-02-24,726,N20,VIIRS,n,2,302.92,1.06,D,0
17.76468,81.42765,343.42,0.4,0.44,2022-02-24,726,N20,VIIRS,n,2,305.51,4.2,D,0
17.30179,77.92173,342.04,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,313.15,3.01,D,0
17.32425,77.91125,342.45,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,308.63,2.16,D,0
17.32584,77.90988,347.68,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,308.02,2.51,D,0
17.33389,77.37849,337.24,0.37,0.58,2022-02-24,727,N20,VIIRS,l,2,309.97,1.69,D,0
17.40264,77.23147,342.54,0.38,0.58,2022-02-24,727,N20,VIIRS,n,2,313.06,3.39,D,0
17.40677,77.23091,335.51,0.38,0.58,2022-02-24,727,N20,VIIRS,l,2,310.34,3.82,D,0
17.4351,77.85811,348.72,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,308.69,3.6,D,0
17.45803,79.16555,330.88,0.56,0.51,2022-02-24,727,N20,VIIRS,l,2,305.87,3.44,D,0
17.50757,77.94102,338.25,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,311.99,2.11,D,0
17.58271,77.55916,337.63,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,310.31,1.37,D,0
17.58363,77.55791,341.19,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,310.72,2.6,D,0
17.5927,78.02988,335.46,0.33,0.55,2022-02-24,727,N20,VIIRS,n,2,309.47,1.9,D,0
17.61349,78.2664,335.77,0.32,0.54,2022-02-24,727,N20,VIIRS,n,2,308.08,1.52,D,0
17.68956,78.09853,338.25,0.32,0.55,2022-02-24,727,N20,VIIRS,l,2,309.31,4.34,D,0
17.68986,78.10007,354.61,0.33,0.55,2022-02-24,727,N20,VIIRS,n,2,308.8,3.43,D,0
17.7775,77.01663,334.63,0.38,0.59,2022-02-24,727,N20,VIIRS,n,2,304.26,2.12,D,0
17.87713,77.50732,367.0,0.35,0.57,2022-02-24,727,N20,VIIRS,h,2,310.36,5.3,D,0
17.89649,78.52394,338.21,0.6,0.53,2022-02-24,727,N20,VIIRS,n,2,306.75,5.99,D,0
17.90443,78.1365,339.59,0.32,0.55,2022-02-24,727,N20,VIIRS,n,2,309.48,4.46,D,0
17.92392,77.64659,367.0,0.34,0.56,2022-02-24,727,N20,VIIRS,h,2,313.9,8.41,D,0
17.9264,77.64648,367.0,0.34,0.56,2022-02-24,727,N20,VIIRS,h,2,311.78,6.71,D,0
18.07743,77.47397,345.04,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,314.2,5.67,D,0
18.07809,77.47723,345.32,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,311.66,3.88,D,0
18.12362,77.49074,352.2,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,312.34,4.37,D,0
18.12427,77.49402,343.65,0.35,0.57,2022-02-24,727,N20,VIIRS,l,2,313.8,6.06,D,0
18.12559,77.49001,349.51,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,311.49,5.51,D,0
18.12627,77.49329,338.37,0.35,0.57,2022-02-24,727,N20,VIIRS,l,2,313.07,6.76,D,0
18.14324,77.52368,341.84,0.35,0.57,2022-02-24,727,N20,VIIRS,l,2,312.36,5.56,D,0
18.29079,80.74352,338.61,0.43,0.46,2022-02-24,727,N20,VIIRS,n,2,305.91,3.24,D,0
18.41292,78.03268,337.58,0.32,0.54,2022-02-24,727,N20,VIIRS,n,2,306.48,4.94,D,0
18.48602,80.12499,335.63,0.46,0.47,2022-02-24,727,N20,VIIRS,n,2,307.3,3.43,D,0
18.50417,77.58582,344.94,0.34,0.56,2022-02-24,727,N20,VIIRS,n,2,312.18,2.66,D,0
18.56077,77.35605,339.05,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,306.88,2.97,D,0
18.61738,77.65678,344.94,0.33,0.56,2022-02-24,727,N20,VIIRS,n,2,311.64,2.44,D,0
18.72496,79.53741,337.69,0.5,0.49,2022-02-24,727,N20,VIIRS,l,2,308.9,5.38,D,0
18.78032,79.40112,342.85,0.51,0.49,2022-02-24,727,N20,VIIRS,n,2,303.67,5.08,D,0
19.00084,79.43742,333.25,0.5,0.49,2022-02-24,727,N20,VIIRS,n,2,305.41,2.77,D,0
19.09418,77.52182,334.62,0.33,0.56,2022-02-24,727,N20,VIIRS,l,2,306.45,3.93,D,0
19.34783,77.16123,350.67,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,302.06,3.4,D,0
19.35009,77.16043,348.94,0.35,0.57,2022-02-24,727,N20,VIIRS,n,2,301.01,3.47,D,0
19.80879,78.44738,343.99,0.56,0.52,2022-02-24,727,N20,VIIRS,n,2,306.85,5.58,D,0
19.92104,79.68259,353.0,0.47,0.47,2022-02-24,727,N20,VIIRS,n,2,305.87,6.5,D,0
19.98639,79.83972,341.17,0.46,0.47,2022-02-24,727,N20,VIIRS,n,2,305.13,3.3,D,0
17.95358,80.75921,325.6,0.49,0.41,2022-02-24,1957,N20,VIIRS,n,2,296.14,2.13,N,0
18.23821,77.43504,301.12,0.53,0.5,2022-02-24,1957,N20,VIIRS,n,2,289.85,0.43,N,0
18.28383,78.14455,307.53,0.47,0.48,2022-02-24,1957,N20,VIIRS,n,2,290.98,1.16,N,0
18.37096,77.9357,302.44,0.49,0.49,2022-02-24,1957,N20,VIIRS,n,2,291.37,0.5,N,0
18.72222,79.53689,317.44,0.39,0.44,2022-02-24,1957,N20,VIIRS,n,2,295.7,1.51,N,0
18.72626,79.5375,321.92,0.39,0.44,2022-02-24,1957,N20,VIIRS,n,2,296.94,1.51,N,0
18.72673,79.53374,318.19,0.39,0.44,2022-02-24,1957,N20,VIIRS,n,2,297.03,3.09,N,0
18.85785,78.57665,301.97,0.45,0.47,2022-02-24,1957,N20,VIIRS,n,2,291.65,0.74,N,0
19.70751,79.21581,298.98,0.42,0.45,2022-02-24,1957,N20,VIIRS,n,2,286.93,2.1,N,0
19.87914,77.06768,299.09,0.58,0.52,2022-02-24,1957,N20,VIIRS,n,2,288.23,0.73,N,0
19.92258,79.11462,306.41,0.43,0.46,2022-02-24,1957,N20,VIIRS,n,2,293.63,0.73,N,2
19.96435,79.33439,303.15,0.42,0.45,2022-02-24,1957,N20,VIIRS,n,2,292.47,0.66,N,2
15.98381,79.11452,312.57,0.39,0.44,2022-02-24,1958,N20,VIIRS,n,2,293.95,0.97,N,0
15.98774,79.11564,305.26,0.39,0.44,2022-02-24,1958,N20,VIIRS,n,2,293.59,0.97,N,0
15.99126,79.11987,303.85,0.39,0.44,2022-02-24,1958,N20,VIIRS,n,2,292.95,0.92,N,0
16.03037,78.44876,308.46,0.42,0.45,2022-02-24,1958,N20,VIIRS,n,2,294.02,1.3,N,0
16.04266,78.46354,309.54,0.42,0.45,2022-02-24,1958,N20,VIIRS,n,2,292.56,0.7,N,0
16.04528,78.46451,311.27,0.42,0.45,2022-02-24,1958,N20,VIIRS,n,2,292.58,0.81,N,0
16.06312,78.97986,319.89,0.39,0.44,2022-02-24,1958,N20,VIIRS,n,2,291.1,1.93,N,0
16.08539,79.00428,301.65,0.39,0.44,2022-02-24,1958,N20,VIIRS,n,2,289.86,0.48,N,0
16.18361,78.56691,302.35,0.42,0.45,2022-02-24,1958,N20,VIIRS,n,2,292.13,0.73,N,0
16.50415,80.74973,303.39,0.48,0.4,2022-02-24,1958,N20,VIIRS,n,2,292.5,0.4,N,0
16.56469,77.01271,301.17,0.53,0.5,2022-02-24,1958,N20,VIIRS,n,2,289.95,0.7,N,0
17.14509,78.22218,307.05,0.45,0.47,2022-02-24,1958,N20,VIIRS,n,2,290.55,1.17,N,2
17.14767,78.22127,302.47,0.45,0.47,2022-02-24,1958,N20,VIIRS,n,2,290.41,0.89,N,2
17.16308,79.47298,312.02,0.57,0.43,2022-02-24,1958,N20,VIIRS,n,2,292.71,1.73,N,0
15.58205,79.79169,332.42,0.57,0.69,2022-02-25,707,N20,VIIRS,l,2,304.71,3.19,D,0
15.5834,79.93851,341.14,0.56,0.69,2022-02-25,707,N20,VIIRS,n,2,302.52,3.66,D,0
15.93939,78.98172,336.64,0.63,0.72,2022-02-25,707,N20,VIIRS,n,2,304.22,3.59,D,0
15.94011,78.98206,336.84,0.63,0.72,2022-02-25,707,N20,VIIRS,n,2,303.87,4.51,D,0
16.04922,78.48862,354.16,0.68,0.74,2022-02-25,707,N20,VIIRS,n,2,306.12,21.47,D,0
16.05163,78.49966,331.54,0.68,0.74,2022-02-25,707,N20,VIIRS,l,2,304.31,5.02,D,0
16.05179,78.4852,352.37,0.68,0.74,2022-02-25,707,N20,VIIRS,n,2,309.18,33.51,D,0
16.05303,78.49072,354.99,0.68,0.74,2022-02-25,707,N20,VIIRS,n,2,306.7,16.63,D,0
16.05413,78.49559,333.88,0.68,0.74,2022-02-25,707,N20,VIIRS,l,2,304.64,16.63,D,0
16.05442,78.98252,334.05,0.63,0.72,2022-02-25,707,N20,VIIRS,l,2,304.1,4.87,D,0
16.05549,78.98383,331.19,0.63,0.72,2022-02-25,707,N20,VIIRS,l,2,304.37,5.42,D,0
16.05578,78.48666,367.0,0.68,0.74,2022-02-25,707,N20,VIIRS,h,2,307.6,21.47,D,0
16.05931,79.37388,342.3,0.59,0.7,2022-02-25,707,N20,VIIRS,n,2,306.76,3.79,D,0
16.06692,78.97753,334.54,0.63,0.72,2022-02-25,707,N20,VIIRS,n,2,304.33,8.57,D,0
16.06812,78.98296,351.06,0.63,0.72,2022-02-25,707,N20,VIIRS,n,2,305.69,8.57,D,0
16.06933,78.98843,330.35,0.63,0.72,2022-02-25,707,N20,VIIRS,l,2,304.42,7.35,D,0
16.07437,78.98048,335.09,0.63,0.72,2022-02-25,707,N20,VIIRS,l,2,305.23,7.44,D,0
16.105,80.11774,335.2,0.53,0.67,2022-02-25,707,N20,VIIRS,n,2,303.53,1.32,D,0
16.27902,79.62785,334.98,0.56,0.69,2022-02-25,707,N20,VIIRS,n,2,307.94,4.47,D,0
16.28019,79.63316,336.85,0.56,0.69,2022-02-25,707,N20,VIIRS,n,2,306.48,4.47,D,0
16.28202,79.63116,351.57,0.57,0.69,2022-02-25,707,N20,VIIRS,n,2,306.85,7.4,D,0
16.43326,79.01206,367.0,0.62,0.71,2022-02-25,707,N20,VIIRS,h,2,307.94,10.28,D,0
16.70515,80.64348,332.56,0.47,0.64,2022-02-25,707,N20,VIIRS,n,2,304.52,3.11,D,0
16.62725,79.49521,339.21,0.57,0.69,2022-02-25,708,N20,VIIRS,n,2,304.92,2.7,D,0
16.62975,78.29401,343.79,0.68,0.74,2022-02-25,708,N20,VIIRS,n,2,307.76,2.79,D,0
16.63335,78.29354,340.83,0.68,0.74,2022-02-25,708,N20,VIIRS,n,2,305.73,5.77,D,0
16.81261,78.34666,335.72,0.67,0.74,2022-02-25,708,N20,VIIRS,n,2,308.52,3.07,D,0
17.07958,78.5407,336.78,0.64,0.72,2022-02-25,708,N20,VIIRS,n,2,306.48,2.28,D,0
17.2553,78.15706,332.85,0.67,0.74,2022-02-25,708,N20,VIIRS,l,2,306.66,6.79,D,0
17.25845,78.1565,337.06,0.67,0.74,2022-02-25,708,N20,VIIRS,n,2,308.62,6.52,D,0
17.27838,77.98212,332.43,0.69,0.74,2022-02-25,708,N20,VIIRS,l,2,302.89,7.92,D,0
17.3388,80.69926,347.93,0.46,0.63,2022-02-25,708,N20,VIIRS,n,2,302.25,5.48,D,0
17.42965,80.87765,352.88,0.44,0.63,2022-02-25,708,N20,VIIRS,n,2,302.73,8.47,D,0
17.43139,80.87462,352.09,0.44,0.63,2022-02-25,708,N20,VIIRS,n,2,303.84,8.52,D,0
17.47664,77.87121,333.84,0.7,0.75,2022-02-25,708,N20,VIIRS,n,2,307.25,3.22,D,0
17.56638,77.14157,330.76,0.77,0.77,2022-02-25,708,N20,VIIRS,l,2,305.28,6.54,D,0
17.65039,79.7365,334.33,0.52,0.67,2022-02-25,708,N20,VIIRS,n,2,299.47,4.06,D,0
17.677,80.72784,331.84,0.45,0.63,2022-02-25,708,N20,VIIRS,n,2,301.01,2.91,D,0
17.68867,78.21522,330.27,0.65,0.73,2022-02-25,708,N20,VIIRS,l,2,304.29,2.41,D,0
17.69059,78.215,335.34,0.65,0.73,2022-02-25,708,N20,VIIRS,n,2,304.98,3.04,D,0
17.69098,78.48949,343.79,0.63,0.72,2022-02-25,708,N20,VIIRS,n,2,303.24,5.06,D,0
17.82773,79.29876,330.39,0.55,0.68,2022-02-25,708,N20,VIIRS,n,2,299.24,1.74,D,0
17.88866,80.08627,337.15,0.49,0.65,2022-02-25,708,N20,VIIRS,n,2,304.43,4.87,D,0
17.89247,80.49017,330.45,0.46,0.64,2022-02-25,708,N20,VIIRS,l,2,302.45,2.51,D,0
17.9521,80.76601,337.89,0.44,0.62,2022-02-25,708,N20,VIIRS,n,2,304.95,6.71,D,0
18.0978,78.37045,335.95,0.63,0.72,2022-02-25,708,N20,VIIRS,n,2,299.65,5.1,D,0
18.36911,78.16297,331.42,0.64,0.72,2022-02-25,708,N20,VIIRS,l,2,304.23,4.56,D,0
18.37557,78.16127,332.5,0.64,0.72,2022-02-25,708,N20,VIIRS,n,2,301.89,4.56,D,0
18.72535,79.5393,333.44,0.51,0.66,2022-02-25,708,N20,VIIRS,n,2,300.71,4.13,D,0
19.58005,79.49637,332.13,0.49,0.65,2022-02-25,708,N20,VIIRS,n,2,298.84,2.83,D,0
19.77136,78.49992,347.9,0.57,0.69,2022-02-25,708,N20,VIIRS,n,2,301.21,6.41,D,0
15.5809,79.7923,334.66,0.66,0.73,2022-02-25,848,N20,VIIRS,n,2,305.39,4.98,D,0
15.63197,78.46929,341.05,0.54,0.68,2022-02-25,848,N20,VIIRS,l,2,311.59,5.17,D,0
15.71896,79.11568,335.83,0.6,0.7,2022-02-25,848,N20,VIIRS,n,2,305.17,2.69,D,0
15.71971,79.12014,332.92,0.6,0.7,2022-02-25,848,N20,VIIRS,l,2,304.41,5.75,D,0
15.80472,78.98013,334.25,0.59,0.7,2022-02-25,848,N20,VIIRS,l,2,305.02,3.52,D,0
15.87686,77.08166,346.24,0.44,0.62,2022-02-25,848,N20,VIIRS,n,2,310.77,4.27,D,0
15.93875,78.74467,342.53,0.57,0.69,2022-02-25,848,N20,VIIRS,n,2,305.15,7.79,D,0
16.01025,77.05138,336.4,0.44,0.62,2022-02-25,848,N20,VIIRS,l,2,310.76,2.17,D,0
16.03937,78.46867,334.63,0.55,0.68,2022-02-25,848,N20,VIIRS,n,2,304.43,5.4,D,0
16.0399,78.47427,347.92,0.55,0.68,2022-02-25,848,N20,VIIRS,n,2,305.23,5.4,D,0
16.04175,78.4705,355.91,0.55,0.68,2022-02-25,848,N20,VIIRS,n,2,307.85,10.08,D,0
16.05872,78.95757,346.65,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,305.88,14.06,D,0
16.0592,78.9624,367.0,0.59,0.7,2022-02-25,848,N20,VIIRS,h,2,307.95,14.06,D,0
16.05967,78.96719,354.56,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,305.84,20.21,D,0
16.06066,78.97718,331.79,0.59,0.7,2022-02-25,848,N20,VIIRS,l,2,303.68,6.86,D,0
16.06287,77.38359,342.62,0.46,0.64,2022-02-25,848,N20,VIIRS,n,2,315.07,9.13,D,0
16.06526,78.95769,337.42,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,303.89,3.67,D,0
16.06576,78.96272,334.72,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,305.39,3.67,D,0
16.06728,78.978,341.78,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,304.33,9.98,D,0
16.07828,78.95724,333.46,0.59,0.7,2022-02-25,848,N20,VIIRS,l,2,304.1,6.36,D,0
16.07905,78.95599,340.05,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,305.26,8.78,D,0
16.09004,79.00365,332.1,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,304.06,4.13,D,0
16.10915,79.00403,350.85,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,306.69,11.46,D,0
16.10958,79.00263,330.77,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,305.25,8.52,D,0
16.1097,79.0095,344.02,0.59,0.7,2022-02-25,848,N20,VIIRS,n,2,304.15,12.07,D,0
16.1101,79.00809,367.0,0.59,0.7,2022-02-25,848,N20,VIIRS,h,2,305.54,8.52,D,0
16.1486,78.57715,338.39,0.56,0.69,2022-02-25,848,N20,VIIRS,n,2,303.39,3.16,D,0
16.23103,77.36272,336.47,0.46,0.64,2022-02-25,848,N20,VIIRS,n,2,308.41,1.62,D,0
16.30936,78.82152,350.03,0.58,0.7,2022-02-25,848,N20,VIIRS,n,2,307.71,11.4,D,0
16.31384,78.81685,347.42,0.58,0.7,2022-02-25,848,N20,VIIRS,n,2,309.31,6.89,D,0
16.31439,78.82227,349.54,0.58,0.7,2022-02-25,848,N20,VIIRS,n,2,309.74,6.89,D,0
16.31575,78.8204,367.0,0.58,0.7,2022-02-25,848,N20,VIIRS,h,2,310.78,15.96,D,0
16.32023,78.8158,332.91,0.58,0.7,2022-02-25,848,N20,VIIRS,n,2,306.14,6.89,D,0
16.3208,78.82146,353.73,0.58,0.7,2022-02-25,848,N20,VIIRS,n,2,306.61,6.89,D,0
16.43188,79.00657,332.36,0.6,0.7,2022-02-25,848,N20,VIIRS,n,2,305.21,4.37,D,0
16.43227,79.00978,345.81,0.6,0.7,2022-02-25,848,N20,VIIRS,n,2,306.91,7.45,D,0
16.43241,79.01226,337.37,0.6,0.7,2022-02-25,848,N20,VIIRS,n,2,306.47,4.37,D,0
16.43776,77.03935,340.0,0.44,0.62,2022-02-25,848,N20,VIIRS,l,2,314.41,4.59,D,0
16.468,79.32349,334.18,0.63,0.72,2022-02-25,848,N20,VIIRS,l,2,305.2,3.79,D,0
16.46992,79.32039,330.16,0.63,0.72,2022-02-25,848,N20,VIIRS,l,2,305.06,4.23,D,0
16.57027,77.51176,337.36,0.48,0.64,2022-02-25,848,N20,VIIRS,l,2,310.04,4.11,D,0
16.63189,80.35454,336.84,0.74,0.76,2022-02-25,848,N20,VIIRS,n,2,302.84,5.27,D,0
16.73832,77.61809,340.55,0.49,0.65,2022-02-25,848,N20,VIIRS,n,2,309.31,2.81,D,0
16.81895,78.24648,367.0,0.54,0.68,2022-02-25,848,N20,VIIRS,h,2,310.7,12.88,D,0
16.96972,78.34758,340.37,0.55,0.68,2022-02-25,848,N20,VIIRS,n,2,311.77,8.65,D,0
