latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.62827,79.29113,330.43,0.38,0.59,2025-09-07,835,N20,VIIRS,n,2,296.15,1.69,D,0
16.51156,80.52398,328.66,0.47,0.64,2025-09-07,835,N20,VIIRS,n,2,290.08,2.3,D,0
18.73858,78.87642,329.66,0.39,0.59,2025-09-07,836,N20,VIIRS,n,2,290.29,2.01,D,0
15.51449,80.02719,333.93,0.41,0.45,2025-09-08,816,N20,VIIRS,n,2,300.49,1.58,D,0
15.67367,79.90861,331.12,0.41,0.45,2025-09-08,816,N20,VIIRS,n,2,300.57,1.55,D,0
16.41264,79.56556,337.02,0.4,0.44,2025-09-08,816,N20,VIIRS,n,2,300.02,3.73,D,0
16.46891,79.61871,335.53,0.4,0.44,2025-09-08,816,N20,VIIRS,n,2,293.73,3.29,D,0
18.28538,79.10838,342.29,0.39,0.44,2025-09-08,817,N20,VIIRS,n,2,293.25,4.84,D,0
19.88345,79.1104,332.76,0.41,0.45,2025-09-08,817,N20,VIIRS,n,2,294.69,3.17,D,0
19.88632,79.1095,338.12,0.41,0.45,2025-09-08,817,N20,VIIRS,n,2,295.55,5.43,D,0
16.67324,81.19971,295.53,0.38,0.59,2025-09-08,2048,N20,VIIRS,n,2,285.49,3.61,N,0
17.14197,77.1853,305.5,0.41,0.45,2025-09-08,2048,N20,VIIRS,n,2,291.2,0.88,N,2
15.52493,79.79201,338.01,0.39,0.36,2025-09-09,757,N20,VIIRS,n,2,303.39,2.42,D,0
15.67555,79.73069,335.72,0.39,0.36,2025-09-09,757,N20,VIIRS,n,2,302.95,1.76,D,0
16.01595,79.85116,338.28,0.39,0.36,2025-09-09,757,N20,VIIRS,n,2,304.91,5.21,D,0
16.43501,79.7937,336.79,0.39,0.36,2025-09-09,757,N20,VIIRS,n,2,300.67,4.55,D,0
16.47065,79.71427,332.64,0.39,0.36,2025-09-09,757,N20,VIIRS,n,2,299.72,3.08,D,0
19.72389,79.17435,302.64,0.42,0.37,2025-09-09,2028,N20,VIIRS,n,2,276.48,0.8,N,2
17.98307,80.8286,300.44,0.51,0.41,2025-09-09,2029,N20,VIIRS,n,2,277.71,1.59,N,0
15.68451,78.45603,304.83,0.43,0.38,2025-09-10,2010,N20,VIIRS,n,2,289.17,0.91,N,0
15.96322,80.93665,305.09,0.38,0.36,2025-09-10,2010,N20,VIIRS,n,2,286.17,0.64,N,2
