latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.66137,78.48641,334.32,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,301.59,6.24,D,0
15.66276,78.49256,338.4,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,301.78,7.29,D,0
15.66559,78.48711,344.84,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,300.84,5.95,D,0
15.66693,78.49323,333.66,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,299.95,5.95,D,0
15.66941,78.49103,338.36,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,299.95,6.59,D,0
15.69884,78.44691,336.42,0.68,0.74,2020-05-10,708,N20,VIIRS,n,2,301.67,6.28,D,0
15.77598,79.43976,333.56,0.58,0.7,2020-05-10,708,N20,VIIRS,n,2,297.21,1.61,D,0
15.77839,79.43818,334.6,0.58,0.7,2020-05-10,708,N20,VIIRS,n,2,296.85,2.98,D,0
16.04579,80.38562,333.66,0.5,0.66,2020-05-10,708,N20,VIIRS,n,2,292.86,1.92,D,0
16.07847,80.48257,335.32,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,294.62,6.35,D,0
16.08035,80.49155,335.42,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,293.28,7.01,D,0
16.08381,80.53759,333.37,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,291.97,2.42,D,0
16.11655,80.78185,341.1,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,290.4,5.24,D,0
16.11744,80.78614,339.89,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,290.84,5.24,D,0
16.11752,80.84423,334.66,0.46,0.64,2020-05-10,708,N20,VIIRS,n,2,291.48,4.65,D,0
16.14056,80.78101,335.75,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,289.61,6.71,D,0
16.15722,80.6335,337.84,0.48,0.65,2020-05-10,708,N20,VIIRS,n,2,287.64,7.83,D,0
16.15815,80.63789,343.52,0.48,0.65,2020-05-10,708,N20,VIIRS,n,2,285.87,7.91,D,0
16.1593,80.63631,344.98,0.48,0.65,2020-05-10,708,N20,VIIRS,n,2,286.86,6.27,D,0
16.20151,79.82526,333.14,0.54,0.68,2020-05-10,708,N20,VIIRS,n,2,297.85,2.07,D,0
16.26298,80.73248,333.44,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,291.54,4.85,D,0
16.34456,80.63619,355.59,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.3,7.9,D,0
16.34534,80.6349,345.02,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,294.78,7.95,D,0
16.34549,80.64053,345.58,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.76,7.9,D,0
16.34624,80.63924,367.0,0.47,0.64,2020-05-10,708,N20,VIIRS,h,2,295.88,7.95,D,0
16.35034,80.74651,335.28,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.15,2.92,D,0
16.35037,80.63493,335.43,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,294.07,7.9,D,0
16.35115,80.63361,339.54,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,293.41,7.95,D,0
16.3513,80.63925,355.21,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.56,7.9,D,0
16.35205,80.63795,341.47,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,294.74,7.95,D,0
16.35295,80.64229,336.75,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.55,12.25,D,0
16.35618,80.63365,335.84,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,293.79,5.84,D,0
16.35696,80.63232,331.87,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,292.58,5.21,D,0
16.37361,80.62981,332.97,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.01,4.25,D,0
16.37453,80.63414,336.65,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.2,4.25,D,0
16.37527,80.63275,342.91,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,295.09,6.83,D,0
16.39834,80.66054,341.53,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,296.75,6.56,D,0
16.40876,80.59465,343.82,0.48,0.64,2020-05-10,708,N20,VIIRS,n,2,296.22,7.22,D,0
16.72517,81.04159,330.56,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,295.19,3.19,D,0
16.73163,81.04439,338.78,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,296.27,7.16,D,0
16.73246,81.0484,339.76,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,295.03,3.03,D,0
16.75332,81.03545,342.2,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,297.15,8.22,D,0
16.75634,81.03608,336.42,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,297.16,5.9,D,0
16.80104,81.35284,331.98,0.42,0.61,2020-05-10,708,N20,VIIRS,n,2,293.06,2.95,D,0
16.80577,81.34782,345.54,0.42,0.61,2020-05-10,708,N20,VIIRS,n,2,294.32,7.05,D,0
16.80655,81.35165,332.88,0.42,0.61,2020-05-10,708,N20,VIIRS,n,2,292.99,5.24,D,0
16.91888,80.11786,330.91,0.5,0.66,2020-05-10,708,N20,VIIRS,n,2,293.85,6.24,D,0
16.92134,80.11662,332.5,0.5,0.66,2020-05-10,708,N20,VIIRS,n,2,294.59,5.24,D,0
16.97218,79.88609,337.15,0.52,0.67,2020-05-10,708,N20,VIIRS,n,2,295.03,5.63,D,0
16.97339,79.88403,342.29,0.52,0.67,2020-05-10,708,N20,VIIRS,n,2,294.94,6.61,D,0
16.97697,80.88403,331.25,0.44,0.63,2020-05-10,708,N20,VIIRS,n,2,296.81,6.26,D,0
17.03058,80.00333,367.0,0.51,0.66,2020-05-10,708,N20,VIIRS,h,2,296.5,16.44,D,0
17.0653,79.54506,338.84,0.54,0.68,2020-05-10,708,N20,VIIRS,n,2,294.95,4.26,D,0
17.07313,80.86292,331.89,0.44,0.63,2020-05-10,708,N20,VIIRS,n,2,295.64,1.84,D,0
17.07474,80.86109,330.15,0.44,0.63,2020-05-10,708,N20,VIIRS,n,2,296.01,1.98,D,0
17.07572,80.80981,339.88,0.45,0.63,2020-05-10,708,N20,VIIRS,n,2,297.13,3.62,D,0
17.08242,80.21614,333.77,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,292.53,2.64,D,0
17.09617,80.19395,337.32,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,291.73,5.99,D,0
17.09965,80.49538,334.5,0.47,0.64,2020-05-10,708,N20,VIIRS,n,2,290.95,5.86,D,0
17.11609,79.8683,333.88,0.51,0.66,2020-05-10,708,N20,VIIRS,n,2,294.79,4.2,D,0
17.13636,80.87305,334.53,0.44,0.62,2020-05-10,708,N20,VIIRS,n,2,293.4,2.98,D,0
17.14192,80.27409,330.46,0.48,0.65,2020-05-10,708,N20,VIIRS,n,2,290.16,3.29,D,0
17.14501,80.14643,330.7,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,293.01,6.9,D,0
17.14897,80.13616,330.99,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,294.46,11.62,D,0
17.14994,80.14066,345.97,0.49,0.65,2020-05-10,708,N20,VIIRS,n,2,294.22,6.9,D,0
17.15556,81.07758,333.38,0.43,0.62,2020-05-10,708,N20,VIIRS,n,2,294.09,5.63,D,0
17.15637,81.08146,344.06,0.43,0.62,2020-05-10,708,N20,VIIRS,n,2,294.77,7.5,D,0
17.18985,79.86075,339.34,0.51,0.66,2020-05-10,708,N20,VIIRS,n,2,293.17,4.07,D,0
17.19133,79.85873,334.85,0.51,0.66,2020-05-10,708,N20,VIIRS,n,2,294.25,1.96,D,0
