latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
18.42599,79.40789,330.82,0.39,0.36,2022-08-28,758,N20,VIIRS,l,2,305.18,5.04,D,0
18.723,79.5359,340.19,0.39,0.36,2022-08-28,758,N20,VIIRS,n,2,301.75,6.61,D,2
17.9581,80.80168,305.96,0.51,0.41,2022-08-28,2029,N20,VIIRS,n,2,290.93,2.99,N,2
16.87086,80.02068,310.38,0.39,0.36,2022-08-29,2010,N20,VIIRS,n,2,291.51,2.36,N,2
17.00416,81.46543,307.15,0.38,0.36,2022-08-29,2010,N20,VIIRS,n,2,291.68,1.97,N,0
17.29897,79.90925,340.77,0.32,0.54,2022-08-30,720,N20,VIIRS,n,2,289.51,3.87,D,0
18.72316,79.53799,316.13,0.49,0.49,2022-08-30,1951,N20,VIIRS,n,2,291.14,6.1,N,2
18.72819,79.53397,315.91,0.49,0.49,2022-08-30,1951,N20,VIIRS,n,2,290.54,4.45,N,2
19.92256,79.11312,307.68,0.54,0.51,2022-08-30,1951,N20,VIIRS,n,2,290.38,1.51,N,2
19.96353,79.33157,313.6,0.53,0.5,2022-08-30,1951,N20,VIIRS,n,2,290.17,2.75,N,2
18.72321,79.53472,308.38,0.51,0.66,2022-08-31,1932,N20,VIIRS,n,2,282.14,4.11,N,2
18.72411,79.53535,313.32,0.51,0.66,2022-08-31,1932,N20,VIIRS,n,2,283.16,4.1,N,2
18.72182,79.5307,302.08,0.69,0.74,2022-08-31,2112,N20,VIIRS,n,2,284.24,1.67,N,0
18.72093,79.53503,331.1,0.53,0.5,2022-09-01,823,N20,VIIRS,n,2,295.83,6.26,D,2
19.92313,79.1114,303.82,0.6,0.53,2022-09-01,2053,N20,VIIRS,n,2,286.43,1.54,N,2
16.79696,81.1799,301.8,0.47,0.64,2022-09-01,2054,N20,VIIRS,n,2,283.27,0.73,N,0
17.17962,80.80083,307.93,0.44,0.62,2022-09-01,2054,N20,VIIRS,n,2,288.14,1.07,N,0
