latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
16.1874,77.03063,332.42,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,292.34,4.56,D,0
16.18793,77.03426,330.53,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,292.49,3.37,D,0
16.26016,77.0861,342.58,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,299.0,4.54,D,0
16.26349,77.08558,343.51,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,296.72,4.54,D,0
16.27982,77.15012,331.06,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,293.94,2.51,D,0
16.28315,77.1496,332.43,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,294.41,3.98,D,0
16.3034,77.12774,337.23,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,296.98,4.77,D,0
16.33838,77.83601,332.83,0.41,0.37,2024-12-05,808,N20,VIIRS,n,2,290.9,4.58,D,0
16.33893,77.8398,329.82,0.41,0.37,2024-12-05,808,N20,VIIRS,n,2,292.47,4.58,D,0
16.35582,77.06732,350.22,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,294.11,7.55,D,0
16.36448,77.50224,337.76,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,297.3,6.17,D,0
16.36555,77.50968,336.17,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,297.03,3.92,D,0
16.37763,80.63168,330.93,0.54,0.42,2024-12-05,808,N20,VIIRS,n,2,287.58,5.56,D,0
16.38167,77.52621,335.77,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,295.97,3.68,D,0
16.38181,77.40854,343.79,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,289.87,4.84,D,0
16.39525,77.50127,331.83,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,294.46,2.26,D,0
16.39807,77.28531,331.19,0.4,0.37,2024-12-05,808,N20,VIIRS,n,2,296.24,2.22,D,0
16.41622,77.25208,337.1,0.39,0.37,2024-12-05,808,N20,VIIRS,n,2,294.97,3.38,D,0
16.43093,77.21223,335.21,0.39,0.36,2024-12-05,808,N20,VIIRS,n,2,295.33,4.0,D,0
16.43777,80.72729,332.28,0.55,0.43,2024-12-05,808,N20,VIIRS,n,2,291.77,5.02,D,0
16.44114,81.12543,330.33,0.39,0.44,2024-12-05,808,N20,VIIRS,n,2,284.24,2.43,D,0
