latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.54085,79.23649,332.94,0.38,0.36,2025-05-04,756,N20,VIIRS,l,2,304.41,2.39,D,0
15.54248,79.24713,330.82,0.38,0.36,2025-05-04,756,N20,VIIRS,l,2,304.96,1.62,D,0
15.54577,79.2466,334.82,0.38,0.36,2025-05-04,756,N20,VIIRS,n,2,303.71,1.62,D,0
15.59891,77.99049,350.56,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,313.74,11.44,D,0
15.67958,78.19807,343.34,0.39,0.36,2025-05-04,756,N20,VIIRS,l,2,316.31,7.1,D,0
15.89132,78.11729,341.89,0.39,0.36,2025-05-04,756,N20,VIIRS,l,2,316.68,6.39,D,0
15.97002,77.88164,343.63,0.4,0.37,2025-05-04,756,N20,VIIRS,l,2,317.64,7.14,D,0
16.13637,79.01949,336.02,0.38,0.36,2025-05-04,756,N20,VIIRS,l,2,306.89,5.35,D,0
16.1746,80.08759,342.42,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,300.55,2.43,D,0
16.2344,79.94065,336.53,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,300.88,2.32,D,0
16.26045,77.08234,340.85,0.42,0.37,2025-05-04,756,N20,VIIRS,l,2,314.51,5.66,D,0
16.26356,77.1016,342.82,0.42,0.37,2025-05-04,756,N20,VIIRS,l,2,315.38,11.15,D,0
16.27309,80.04173,343.14,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,302.98,3.21,D,0
16.27601,80.2233,334.66,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,300.73,1.64,D,0
16.288,80.25865,330.95,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,300.61,1.31,D,0
16.29568,80.05667,343.4,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,301.04,4.36,D,0
16.36684,77.85559,344.01,0.4,0.37,2025-05-04,756,N20,VIIRS,l,2,318.59,3.97,D,0
16.36956,80.1448,335.53,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,302.09,4.06,D,0
16.37009,80.14844,340.79,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,303.38,4.06,D,0
16.37621,80.14376,332.14,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,301.35,1.79,D,0
16.37953,80.14323,338.63,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,301.11,1.79,D,0
16.39202,77.46138,344.93,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.02,6.02,D,0
16.39341,77.3838,344.55,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,318.39,7.2,D,0
16.39389,77.27867,348.56,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.85,8.16,D,0
16.45121,77.13193,347.55,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,319.77,20.05,D,0
16.52285,79.84943,334.23,0.39,0.36,2025-05-04,756,N20,VIIRS,l,2,305.44,4.36,D,0
16.68413,77.13907,343.93,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.11,16.45,D,0
16.68722,77.15816,345.34,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.17,4.29,D,0
16.71036,77.1502,342.13,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.25,6.05,D,0
16.75255,77.0839,344.63,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,315.25,9.98,D,0
16.7529,77.10745,347.72,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,319.79,15.31,D,0
16.75372,77.04819,340.77,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,315.02,4.82,D,0
16.75907,77.10246,341.84,0.41,0.37,2025-05-04,756,N20,VIIRS,l,2,316.01,9.31,D,0
16.83929,80.46086,347.58,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,301.32,8.15,D,0
16.96847,79.76547,337.86,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,305.47,2.61,D,0
17.01554,79.85442,336.4,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,304.94,2.53,D,0
17.01608,79.85804,335.63,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,303.46,2.53,D,0
17.08777,79.76855,335.12,0.39,0.36,2025-05-04,756,N20,VIIRS,l,2,308.79,3.34,D,0
17.09483,80.23116,346.42,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,305.24,6.78,D,0
17.11119,80.1608,337.85,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,304.9,1.77,D,0
17.11653,80.19764,349.07,0.39,0.37,2025-05-04,756,N20,VIIRS,n,2,309.73,24.87,D,0
17.1581,80.22502,337.45,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,305.73,3.16,D,0
17.16807,79.99039,335.58,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,305.13,2.41,D,0
17.20002,80.18446,339.49,0.39,0.37,2025-05-04,756,N20,VIIRS,n,2,303.34,1.36,D,0
17.20366,80.07433,338.34,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,305.76,3.96,D,0
17.21674,80.44001,339.16,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,304.46,1.62,D,0
17.2239,80.46566,337.09,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,303.5,1.55,D,0
17.2464,80.57343,331.7,0.4,0.37,2025-05-04,756,N20,VIIRS,l,2,305.61,1.09,D,0
17.26279,80.12898,332.4,0.39,0.36,2025-05-04,756,N20,VIIRS,l,2,305.14,0.99,D,0
17.29597,80.02966,339.78,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,307.08,2.14,D,0
17.32261,79.42961,340.23,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,309.82,6.15,D,0
17.41687,80.02459,341.81,0.39,0.36,2025-05-04,756,N20,VIIRS,n,2,306.26,3.52,D,0
17.45978,80.20284,337.33,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,306.12,1.54,D,0
17.53782,80.45796,335.5,0.4,0.37,2025-05-04,756,N20,VIIRS,l,2,305.8,1.93,D,0
17.54496,80.22353,338.39,0.4,0.37,2025-05-04,756,N20,VIIRS,n,2,306.87,2.09,D,0
17.22773,77.98897,339.44,0.39,0.36,2025-05-04,757,N20,VIIRS,l,2,312.81,6.35,D,0
17.34935,78.15788,338.35,0.39,0.36,2025-05-04,757,N20,VIIRS,l,2,311.72,7.09,D,0
17.35618,77.6809,344.41,0.4,0.37,2025-05-04,757,N20,VIIRS,l,2,319.05,10.89,D,0
17.50193,78.77431,340.03,0.38,0.36,2025-05-04,757,N20,VIIRS,n,2,305.14,7.27,D,0
17.51011,79.71046,339.47,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,309.31,3.02,D,0
17.55418,79.87143,347.16,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,310.81,10.43,D,0
17.55617,79.79259,338.1,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,307.41,3.42,D,0
17.56073,80.22118,337.6,0.4,0.37,2025-05-04,757,N20,VIIRS,n,2,307.15,3.55,D,0
17.56972,79.86145,338.49,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,307.98,2.86,D,0
17.57549,80.06355,334.96,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,301.89,1.71,D,0
17.5847,80.22118,336.79,0.4,0.37,2025-05-04,757,N20,VIIRS,l,2,307.37,3.86,D,0
17.58775,80.17132,338.2,0.4,0.37,2025-05-04,757,N20,VIIRS,n,2,307.72,1.54,D,0
17.60168,80.48284,344.74,0.4,0.37,2025-05-04,757,N20,VIIRS,n,2,306.14,5.75,D,0
17.60851,80.36241,331.2,0.4,0.37,2025-05-04,757,N20,VIIRS,l,2,303.8,2.06,D,0
17.63695,79.83537,337.75,0.39,0.36,2025-05-04,757,N20,VIIRS,l,2,307.75,3.35,D,0
17.66063,79.35191,337.75,0.39,0.36,2025-05-04,757,N20,VIIRS,l,2,311.45,4.47,D,0
17.66899,79.70695,343.78,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,309.0,5.89,D,0
17.67346,79.96849,337.98,0.39,0.36,2025-05-04,757,N20,VIIRS,n,2,307.55,3.03,D,0
