latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.53394,78.14328,343.27,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,309.1,5.56,D,0
15.53608,78.15517,343.84,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,310.26,5.42,D,0
15.53813,78.14252,340.23,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,309.12,8.95,D,0
15.53886,78.14661,347.12,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,308.72,8.95,D,0
15.53955,78.15049,335.64,0.43,0.46,2021-01-30,739,N20,VIIRS,l,2,306.74,2.94,D,0
15.55304,77.71947,341.8,0.46,0.47,2021-01-30,739,N20,VIIRS,n,2,308.11,4.8,D,0
15.59936,77.99796,340.48,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,307.77,5.82,D,0
15.70813,77.42698,336.21,0.48,0.48,2021-01-30,739,N20,VIIRS,l,2,308.89,1.61,D,0
15.71484,77.89012,343.95,0.45,0.47,2021-01-30,739,N20,VIIRS,n,2,314.28,3.1,D,0
15.72449,77.16824,334.41,0.5,0.49,2021-01-30,739,N20,VIIRS,n,2,307.87,2.62,D,0
15.72647,77.04032,345.27,0.51,0.49,2021-01-30,739,N20,VIIRS,n,2,313.5,4.93,D,0
15.78827,77.98226,342.6,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,312.94,3.11,D,0
15.7895,77.89371,340.36,0.45,0.47,2021-01-30,739,N20,VIIRS,l,2,314.87,4.91,D,0
15.79435,79.34643,338.76,0.55,0.42,2021-01-30,739,N20,VIIRS,n,2,309.05,4.75,D,0
15.79533,79.34408,337.7,0.55,0.42,2021-01-30,739,N20,VIIRS,l,2,310.12,7.78,D,0
15.83942,77.40206,340.69,0.48,0.48,2021-01-30,739,N20,VIIRS,l,2,314.24,6.07,D,0
15.94061,78.93657,331.98,0.38,0.43,2021-01-30,739,N20,VIIRS,n,2,301.55,3.74,D,0
16.09734,77.05346,334.52,0.5,0.49,2021-01-30,739,N20,VIIRS,n,2,305.3,2.69,D,0
16.13501,78.62171,340.58,0.4,0.44,2021-01-30,739,N20,VIIRS,n,2,305.64,4.89,D,0
16.18915,79.17936,337.88,0.55,0.43,2021-01-30,739,N20,VIIRS,n,2,306.06,10.25,D,0
16.18976,79.17714,335.69,0.55,0.43,2021-01-30,739,N20,VIIRS,n,2,306.62,9.34,D,0
16.19302,79.1786,346.02,0.55,0.43,2021-01-30,739,N20,VIIRS,n,2,306.65,10.25,D,0
16.19363,79.17641,346.32,0.55,0.43,2021-01-30,739,N20,VIIRS,n,2,306.33,11.11,D,0
16.27798,80.87251,335.07,0.45,0.39,2021-01-30,739,N20,VIIRS,n,2,298.31,3.73,D,0
16.38593,78.22442,339.37,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,309.73,3.04,D,0
16.51131,81.31785,333.46,0.43,0.38,2021-01-30,739,N20,VIIRS,n,2,302.33,4.39,D,0
16.51631,79.29658,343.61,0.54,0.42,2021-01-30,739,N20,VIIRS,n,2,308.53,7.02,D,0
16.53346,77.79185,341.66,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,310.45,5.42,D,0
16.55807,77.87891,334.32,0.43,0.46,2021-01-30,739,N20,VIIRS,l,2,309.13,2.62,D,0
16.59561,77.99081,335.91,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,306.0,3.01,D,0
16.63219,77.66404,335.09,0.45,0.47,2021-01-30,739,N20,VIIRS,l,2,307.28,5.21,D,0
16.72957,80.17175,332.74,0.48,0.4,2021-01-30,739,N20,VIIRS,n,2,305.08,2.07,D,0
16.76175,77.11252,341.82,0.48,0.48,2021-01-30,739,N20,VIIRS,n,2,307.49,2.92,D,0
16.81343,81.2328,331.05,0.43,0.38,2021-01-30,739,N20,VIIRS,n,2,298.97,1.86,D,0
16.86443,78.08479,338.16,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,306.44,3.3,D,0
16.97988,78.10271,343.38,0.41,0.45,2021-01-30,739,N20,VIIRS,n,2,308.87,5.28,D,0
16.98084,78.10244,342.75,0.41,0.45,2021-01-30,739,N20,VIIRS,n,2,308.14,6.38,D,0
16.9905,77.43412,333.97,0.45,0.47,2021-01-30,739,N20,VIIRS,n,2,307.61,2.66,D,0
17.00463,78.00678,337.37,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,304.24,3.52,D,0
17.00628,77.15923,339.84,0.47,0.48,2021-01-30,739,N20,VIIRS,n,2,306.58,5.65,D,0
17.02614,77.74135,337.36,0.43,0.46,2021-01-30,739,N20,VIIRS,n,2,304.73,3.54,D,0
17.02915,77.7397,332.18,0.43,0.46,2021-01-30,739,N20,VIIRS,l,2,303.58,2.35,D,0
17.05369,80.1764,341.91,0.47,0.4,2021-01-30,739,N20,VIIRS,n,2,304.62,5.49,D,0
17.08578,81.45801,331.16,0.42,0.38,2021-01-30,739,N20,VIIRS,l,2,302.99,3.8,D,0
17.08846,78.5596,356.1,0.39,0.44,2021-01-30,739,N20,VIIRS,n,2,310.24,10.81,D,0
17.1001,80.00757,331.29,0.48,0.4,2021-01-30,739,N20,VIIRS,n,2,301.02,2.31,D,0
17.1666,78.67725,334.07,0.57,0.43,2021-01-30,739,N20,VIIRS,n,2,303.3,4.51,D,0
17.20461,80.22626,333.47,0.47,0.4,2021-01-30,739,N20,VIIRS,n,2,302.67,4.15,D,0
17.34546,80.78283,333.36,0.44,0.39,2021-01-30,739,N20,VIIRS,n,2,301.07,4.67,D,0
17.36752,77.51447,337.2,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,306.23,5.43,D,0
17.40896,78.29365,330.48,0.4,0.44,2021-01-30,739,N20,VIIRS,n,2,304.43,2.49,D,0
17.44227,77.54025,337.61,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,306.07,6.35,D,0
17.48522,77.88538,336.69,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,304.38,4.8,D,0
17.59277,78.0573,331.79,0.41,0.45,2021-01-30,739,N20,VIIRS,n,2,303.64,2.13,D,0
17.64278,78.10165,331.05,0.4,0.44,2021-01-30,739,N20,VIIRS,n,2,305.21,3.05,D,0
17.65169,77.82831,331.3,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,299.53,4.53,D,0
17.65239,77.83215,339.67,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,298.88,4.53,D,0
17.66178,77.95334,334.78,0.41,0.45,2021-01-30,739,N20,VIIRS,l,2,307.99,5.83,D,0
17.75738,77.40595,337.89,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,304.8,4.85,D,0
17.77917,77.16772,331.69,0.46,0.47,2021-01-30,739,N20,VIIRS,n,2,303.04,3.23,D,0
17.78408,78.42585,343.31,0.38,0.43,2021-01-30,739,N20,VIIRS,n,2,302.92,17.62,D,0
17.78803,78.42506,347.12,0.38,0.43,2021-01-30,739,N20,VIIRS,n,2,304.74,17.62,D,0
17.87975,77.38298,333.88,0.44,0.46,2021-01-30,739,N20,VIIRS,n,2,306.56,3.2,D,0
17.91083,79.21597,330.54,0.52,0.41,2021-01-30,739,N20,VIIRS,n,2,301.96,3.48,D,0
18.01486,80.70328,335.27,0.44,0.38,2021-01-30,739,N20,VIIRS,n,2,302.12,4.42,D,0
18.01554,80.70737,332.7,0.44,0.38,2021-01-30,739,N20,VIIRS,l,2,303.02,3.43,D,0
18.01882,77.07854,333.01,0.46,0.47,2021-01-30,739,N20,VIIRS,n,2,301.53,4.54,D,0
18.08407,79.65353,330.26,0.49,0.4,2021-01-30,739,N20,VIIRS,n,2,302.45,3.31,D,0
18.24577,77.66217,336.93,0.42,0.45,2021-01-30,739,N20,VIIRS,n,2,305.55,3.98,D,0
18.71362,81.25282,331.29,0.41,0.37,2021-01-30,739,N20,VIIRS,n,2,297.0,2.12,D,0
18.76835,79.58835,330.43,0.48,0.4,2021-01-30,739,N20,VIIRS,n,2,299.59,2.57,D,0
18.98367,77.52129,341.9,0.42,0.45,2021-01-30,740,N20,VIIRS,n,2,302.13,7.91,D,0
19.00811,79.45418,334.03,0.49,0.4,2021-01-30,740,N20,VIIRS,n,2,302.29,2.62,D,0
19.02913,77.58419,332.76,0.41,0.45,2021-01-30,740,N20,VIIRS,n,2,301.33,6.84,D,0
19.02984,77.58806,340.35,0.41,0.45,2021-01-30,740,N20,VIIRS,n,2,301.99,6.84,D,0
19.12277,77.19011,340.0,0.43,0.46,2021-01-30,740,N20,VIIRS,n,2,300.03,15.99,D,0
19.15871,77.08127,340.6,0.44,0.46,2021-01-30,740,N20,VIIRS,n,2,301.96,13.33,D,0
