latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.51253,78.49652,338.02,0.43,0.38,2023-10-12,810,N20,VIIRS,n,2,306.9,6.09,D,0
15.66905,78.42141,338.25,0.42,0.38,2023-10-12,810,N20,VIIRS,n,2,308.1,4.35,D,0
15.74899,78.48611,334.66,0.43,0.38,2023-10-12,810,N20,VIIRS,l,2,305.69,1.65,D,0
15.75079,78.48532,330.56,0.43,0.38,2023-10-12,810,N20,VIIRS,l,2,303.83,2.32,D,0
16.07278,79.79008,331.18,0.49,0.4,2023-10-12,810,N20,VIIRS,l,2,304.33,3.22,D,0
16.22299,77.74205,335.02,0.41,0.37,2023-10-12,811,N20,VIIRS,l,2,306.28,1.02,D,0
16.31637,77.83268,337.55,0.41,0.37,2023-10-12,811,N20,VIIRS,l,2,307.71,5.78,D,0
16.86341,79.21188,336.17,0.47,0.4,2023-10-12,811,N20,VIIRS,n,2,306.17,3.3,D,0
17.25954,77.36118,344.93,0.4,0.37,2023-10-12,811,N20,VIIRS,n,2,309.06,4.47,D,0
17.3082,81.0058,341.54,0.4,0.44,2023-10-12,811,N20,VIIRS,n,2,302.14,6.77,D,0
17.34536,78.3008,338.82,0.43,0.38,2023-10-12,811,N20,VIIRS,n,2,304.88,3.91,D,0
17.34742,78.29975,332.56,0.43,0.38,2023-10-12,811,N20,VIIRS,l,2,304.24,2.29,D,0
17.5657,78.27741,332.14,0.43,0.38,2023-10-12,811,N20,VIIRS,n,2,301.52,2.25,D,0
17.58427,79.50102,333.39,0.49,0.41,2023-10-12,811,N20,VIIRS,n,2,306.04,5.24,D,0
17.68497,79.16904,331.92,0.48,0.4,2023-10-12,811,N20,VIIRS,n,2,304.96,2.36,D,0
17.68526,79.17197,334.21,0.48,0.4,2023-10-12,811,N20,VIIRS,n,2,305.61,2.41,D,0
18.3529,78.5563,332.11,0.45,0.39,2023-10-12,811,N20,VIIRS,n,2,303.27,4.02,D,0
18.35346,78.56058,335.18,0.45,0.39,2023-10-12,811,N20,VIIRS,n,2,304.49,6.97,D,0
18.35465,78.56037,340.41,0.45,0.39,2023-10-12,811,N20,VIIRS,n,2,304.62,6.95,D,0
18.68514,77.97733,335.51,0.43,0.38,2023-10-12,811,N20,VIIRS,n,2,305.54,6.17,D,0
18.73359,79.53093,340.59,0.51,0.41,2023-10-12,811,N20,VIIRS,l,2,310.97,6.1,D,0
