Feature,Importance
bright_ti4,0.2599477287891484
bright_ti5,0.19139225532827905
latitude,0.15096895097417112
longitude,0.12380634761436225
day_of_year,0.10296691161666396
scan,0.08094086521534395
track,0.058804313367416046
month,0.03117262709461519
